name,slug,id
"Esembly",esembly,548944a8-23e0-495a-a66d-5ab9ae24df4a
"ESNTL LVG",esntl-lvg,742f7d1a-d66e-4461-8ed0-a046c9ccf331
"Essentialist Inc.",essentialist-inc,71b65b5d-4ec2-4260-ae85-142702dc8368
"Everyday Oil",everyday-oil,5e6bb4c5-1a3f-4ca6-b802-8af941587f97
"Everyone",everyone,d55abd4a-fb57-4c52-bae2-01f4dad547ef
"Evolve Botanica",evolve-botanica,9aa03852-7c79-4d36-a5c3-961f409a7033
"Evolved By Nature",evolved-by-nature,199376a6-8d49-41ac-946d-4a8ba3865c89
"EXCESSKIN",excesskin,522068ee-f869-48f4-81f2-66d4675e5c9c
"Fate Naturals",fate-naturals,fd5ed6f6-013b-444c-88c1-a27bbf6ef1b7
"Feel",feel,cfaddb7a-c9d2-435f-9f23-f2726585c65c
"Ferreira Signature Line",ferreira-signature-line,27c26bf8-8db7-4bc1-b4ac-adf0dc552a88
"Finny Rute",finny-rute,ec63febe-caae-4936-abb1-3e65273b31ea
"First Honey",first-honey,6d836f04-3102-40d9-b858-1df0b8043d85
"Fit Organic",fit-organic,40b89410-78e7-418a-9879-1c9ec0ec9764
"Flonatix",flonatix,ac61d1c9-73a6-4550-ad91-8eb0da29e1cb
"Flora + Bast",flora-bast,e576ec33-25cf-4470-bc34-3c4eb7a068e4
"Floral Spell",floral-spell,41033df8-5111-4d8e-ba5f-0e71c0a796c1
"Floralisse skincare",floralisse-skincare,73dee46a-a238-427b-8122-8fa2ce46c647
"Floris London",floris-london,a28402b5-091e-4705-a4c3-d0a7e04d5fbf
"Flowers Atelier",flowers-atelier,e5e046f0-d5f9-4580-bbf1-5fe56e1a0b34
"FOOPE™",foope,a91fcd64-7bc1-4a43-a87c-893ddbf9d8ec
"Forces of Nature",forces-of-nature,a3bf75f8-c50e-45c9-9a3b-7aa3c01015b5
"Forest Rhapsody Skincare",forest-rhapsody-skincare,7561fdbe-e5ce-4787-bcb9-c31cd8fa05c9
"Forgotten Skincare",forgotten-skincare,d896be36-c381-48d3-a091-0af8e9fd12d9
"Fortae",fortae,e7c14184-0d95-4ca3-99fd-ae73055a2d5d
"Fragrance by Sabrina",fragrance-by-sabrina,6d14e8f6-3d53-4950-899d-4779d7893f9d
"Frankie & Paisley",frankie-paisley,2ade76ba-b370-4e38-bf66-64a7fa1296e3
"Fresh Wave",fresh-wave,4eef9e55-5e65-4742-b20d-464c5449c024
"Gardener's Dream",gardener-s-dream,c3642464-c3c4-4228-aeb3-95b31fcf8ebc
"Gazing Green",gazing-green,d00dff67-6eff-4cf2-b4b3-1d4fa641403d
"Gelly Bae",gelly-bae,92b27112-4c08-4340-9a4d-330e46d345b5
"GEMSTHETIX",gemsthetix,157853fd-e662-4d88-a2db-80f92179ee5f
"Genial Day",genial-day,9bb735a2-55bc-434d-867d-a90ad3389dc8
"Gleam",gleam,9b94d2aa-0795-4f54-81e1-61893f96a065
"Good For You Girls",good-for-you-girls,7b8e2b59-fc4a-44e1-be0b-9d34ec844a8f
"Good Juju Body & Home",good-juju-body-home,f4a4be72-6ab3-4030-908b-93ebf53a290b
"Good Life Solutions",good-life-solutions,6999a4f4-e6ed-47c5-85c9-d0704689cfb3
"Goodspread",goodspread,6c34d19d-2b3b-4080-a96e-48213268946f
"Gray Away",gray-away,713ba652-c338-4852-b092-f3b3501de577
"Greater Than Beauty",greater-than-beauty,6dc791a0-1b9a-4e8c-96ca-45d0ff5d279c
"Green Bee Botanicals",green-bee-botanicals,3b3ce406-7cdf-4015-8527-9d2aba1f5146
"Green Llama",green-llama,d00b97be-663c-4ea3-a1ef-e709789e6a6a
"Grounded Sage",grounded-sage,5fefe67a-e22b-4686-82af-579f6cada3d7
"Grow Fragrance",grow-fragrance,14b4af8f-ec3c-4cc4-81ef-325311291e24
"Guanology",guanology,19fb9cc8-61ad-41ba-b062-dc13a52e08df
"Guests on Earth",guests-on-earth,7abaad75-5807-4e32-89eb-9ae507fdcf8e
"GuruNanda",gurunanda,a19a115c-37fa-481c-a314-3a098a568928
"Hally",hally,4ee8eb71-4047-4c69-ba26-21f952456c2c
"Hand over Heart",hand-over-heart,af3b88ba-461f-4da4-88e7-be1403d57358
"haruharu wonder",haruharu-wonder,334da662-5e9f-4d68-b2a3-d525659a392d
"healthy hoohoo®",healthy-hoohoo,35859120-79d4-40cd-b84d-516f3027bb48
"Hello Products",hello-products,f9a20261-009b-4707-87ed-2e4a86752b8d
"Henry Rose",henry-rose,50c9b17b-8464-4897-9988-b8d33d2b0822
"Herbitual",herbitual,b358cd8b-bd3e-46fe-abd0-ba5154863c80
"High On Love",high-on-love,e179e374-d5af-4ab7-8ab9-56befbae8fa6
"High Vibe Aromatics",high-vibe-aromatics,ea4773c6-d131-4ffa-831b-bf8ad5a87808
"Holistic Body Care LLC",holistic-body-care-llc,09b895ea-317d-480b-a9fe-423710e94ef9
"Home~Pourri",home-pourri,236ed138-6a77-419b-a431-aec2112ff4c4
"HOMMEFACE",hommeface,7da5069d-6f66-418d-a2ee-4c8a4fc6de96
"Honestly pHresh",honestly-phresh,498ed6c8-a90e-44b3-b9bf-01b8a84facda
"Huppy",huppy,5e89dac5-6f6d-4c10-9362-676491a378b8
"I Luv It",i-luv-it,9928d5ca-cc54-4488-9456-6b7ba80deba4
"IGK",igk,3251b567-9797-406a-a5ff-7ed6e06af528
"Immaculate Minerals",immaculate-minerals,f34f5dd3-1360-4462-a5fc-91f0c9014c9a
"Ink Kare",ink-kare,503739ee-9129-49a8-ba3f-7e1d5cc95787
"inShield Washer",inshield-washer,6a06841c-45a3-4575-9d7f-9862823081f3
"Ivy & Elder",ivy-elder,88bb0144-d88f-4b7f-808d-81a571521283
"Jadu Beauty",jadu-beauty,811888de-17de-4714-898e-1dbe54cecd80
"Jordan Samuel Skin",jordan-samuel-skin,c9ab1a25-9227-437b-bf36-22b2721cf3be
"Kashmir Pink®",kashmir-pink,15d0d4f6-88ae-4ca1-bf96-1dbac7be2fa3
"Kaylaan",kaylaan,36f83eeb-7d3c-4972-85eb-0dbc271989f2
"LA SALT CO®",la-salt-co,6d935014-e9f6-4b34-bd82-5635406607d3
"Layermor Fragrance",layermor-fragrance,b56c272e-6946-4f13-b85c-cb3f6d55a2fb
"Liberation Nails",liberation-nails,6729992d-747f-42b6-a10b-c812b63967e4
"Lil Luv Dog",lil-luv-dog,99a147c3-f0a4-4141-8aa8-46790bfa0c85
"Loïc Or",lo-c-or,d42e1504-1383-4e40-818f-75a0c153e716
"Longhom®",longhom,94d2504a-eef6-4460-ae23-31f8c857d38a
"Loomi",loomi,f9257f02-3095-4703-aa5a-1e0cf5758174
"Love and Happiness",love-and-happiness,55a75b10-f5bd-4a44-a44b-a9ad37ea0851
"Lustre Love",lustre-love,1dcbc9a9-cd55-44f4-8451-5c1658bdeadd
"Luxe Wix Candle Co.",luxe-wix-candle-co,f97b8d7c-2805-4fb8-8d5a-f391bd421e99
"M.D. Blend",m-d-blend,6837452d-c413-4dca-8035-e2efea290381
